model_key,method,ev_threshold,prob_diff_threshold,selection_count,race_count,hit_rate,avg_expected_net_profit_per_unit,avg_realized_net_profit_per_unit,sum_realized_net_profit_per_unit
catboost::market_aware,sigmoid_race_norm,0.0,0.0,1479,732,0.03110209601081812,0.2814139810668843,-0.5160919540229885,-763.3
catboost::market_aware,sigmoid_race_norm,0.0,0.01,603,382,0.07462686567164178,0.21786446262056947,-0.03200663349917083,-19.30000000000001
catboost::market_aware,sigmoid_race_norm,0.0,0.02,245,186,0.15918367346938775,0.09141939242899587,-0.26653061224489794,-65.3
catboost::market_aware,sigmoid_race_norm,0.0,0.03,209,161,0.18660287081339713,0.08026529594334664,-0.14019138755980862,-29.3
catboost::market_aware,sigmoid_race_norm,0.02,0.0,1312,682,0.025152439024390245,0.31612399933480767,-0.6314024390243902,-828.4
catboost::market_aware,sigmoid_race_norm,0.02,0.01,488,316,0.06762295081967214,0.26716475890675184,-0.009016393442622934,-4.3999999999999915
catboost::market_aware,sigmoid_race_norm,0.02,0.02,162,124,0.1728395061728395,0.13360320397024256,-0.23086419753086415,-37.39999999999999
catboost::market_aware,sigmoid_race_norm,0.02,0.03,128,99,0.21875,0.1254572508997014,-0.026562500000000017,-3.400000000000002
catboost::market_aware,sigmoid_race_norm,0.05,0.0,1129,611,0.015943312666076175,0.3619709048073857,-0.6279007971656333,-708.9
catboost::market_aware,sigmoid_race_norm,0.05,0.01,374,244,0.0481283422459893,0.3384876539852138,0.12326203208556148,46.099999999999994
catboost::market_aware,sigmoid_race_norm,0.05,0.02,96,72,0.13541666666666666,0.20292458560345336,-0.3635416666666666,-34.89999999999999
catboost::market_aware,sigmoid_race_norm,0.05,0.03,71,50,0.18309859154929578,0.199588829398937,-0.13943661971830984,-9.899999999999999
catboost::market_aware,sigmoid_race_norm,0.1,0.0,940,533,0.009574468085106383,0.41991027055143954,-0.7491489361702128,-704.2
catboost::market_aware,sigmoid_race_norm,0.1,0.01,281,188,0.03202846975088968,0.425881304984393,-0.16085409252669042,-45.20000000000001
catboost::market_aware,sigmoid_race_norm,0.1,0.02,54,35,0.1111111111111111,0.30157284734200995,-0.5777777777777778,-31.200000000000003
catboost::market_aware,sigmoid_race_norm,0.1,0.03,39,22,0.15384615384615385,0.3008497144960348,-0.4153846153846153,-16.199999999999996
lightgbm::market_aware,raw_race_norm,0.0,0.0,1408,806,0.07315340909090909,0.1478585509462636,-0.3144886363636364,-442.8
lightgbm::market_aware,raw_race_norm,0.0,0.01,1083,708,0.09418282548476455,0.12129820557291762,-0.18541089566020313,-200.79999999999998
lightgbm::market_aware,raw_race_norm,0.0,0.02,768,595,0.12760416666666666,0.11921449441801131,-0.1846354166666667,-141.8
lightgbm::market_aware,raw_race_norm,0.0,0.03,646,534,0.15015479876160992,0.10912118023708514,-0.07708978328173373,-49.79999999999999
lightgbm::market_aware,raw_race_norm,0.02,0.0,1205,728,0.06307053941908713,0.1711564691059768,-0.3895435684647303,-469.40000000000003
lightgbm::market_aware,raw_race_norm,0.02,0.01,910,625,0.08241758241758242,0.14252295569449536,-0.2828571428571428,-257.4
lightgbm::market_aware,raw_race_norm,0.02,0.02,643,506,0.1119751166407465,0.1405492516565555,-0.2821150855365474,-181.39999999999998
lightgbm::market_aware,raw_race_norm,0.02,0.03,531,440,0.1337099811676083,0.13074837601943504,-0.18719397363465157,-99.39999999999998
lightgbm::market_aware,raw_race_norm,0.05,0.0,940,614,0.059574468085106386,0.20978687848979888,-0.35234042553191486,-331.2
lightgbm::market_aware,raw_race_norm,0.05,0.01,683,498,0.08052708638360176,0.17848801004407097,-0.2301610541727672,-157.2
lightgbm::market_aware,raw_race_norm,0.05,0.02,482,387,0.1078838174273859,0.17607868733255433,-0.30539419087136926,-147.2
lightgbm::market_aware,raw_race_norm,0.05,0.03,385,328,0.13246753246753246,0.1675279593191053,-0.20831168831168828,-80.19999999999999
lightgbm::market_aware,raw_race_norm,0.1,0.0,657,465,0.0563165905631659,0.26848442880045137,-0.3806697108066971,-250.1
lightgbm::market_aware,raw_race_norm,0.1,0.01,450,350,0.08222222222222222,0.2328551399598285,-0.0957777777777778,-43.10000000000001
lightgbm::market_aware,raw_race_norm,0.1,0.02,323,268,0.10526315789473684,0.22637019814435666,-0.33157894736842103,-107.1
lightgbm::market_aware,raw_race_norm,0.1,0.03,250,219,0.136,0.21810755596574755,-0.1364,-34.1
logreg_lbfgs::market_aware,raw_race_norm,0.0,0.0,437,364,0.13501144164759726,0.08397903064957682,-0.09061784897025171,-39.6
logreg_lbfgs::market_aware,raw_race_norm,0.0,0.01,432,364,0.13657407407407407,0.08344772040129726,-0.08009259259259258,-34.599999999999994
logreg_lbfgs::market_aware,raw_race_norm,0.0,0.02,426,362,0.13849765258215962,0.08328252981251776,-0.06713615023474176,-28.599999999999987
logreg_lbfgs::market_aware,raw_race_norm,0.0,0.03,417,358,0.13908872901678657,0.08203309172984294,-0.12374100719424462,-51.60000000000001
logreg_lbfgs::market_aware,raw_race_norm,0.02,0.0,329,278,0.1519756838905775,0.10866953747633973,-0.0668693009118541,-22.0
logreg_lbfgs::market_aware,raw_race_norm,0.02,0.01,325,278,0.15384615384615385,0.10803995915868457,-0.055384615384615386,-18.0
logreg_lbfgs::market_aware,raw_race_norm,0.02,0.02,321,276,0.1557632398753894,0.10763910251870804,-0.04361370716510903,-14.0
logreg_lbfgs::market_aware,raw_race_norm,0.02,0.03,314,271,0.1592356687898089,0.1060510134666727,-0.022292993630573237,-6.9999999999999964
logreg_lbfgs::market_aware,raw_race_norm,0.05,0.0,201,163,0.17412935323383086,0.15726594282821482,0.09303482587064678,18.700000000000003
logreg_lbfgs::market_aware,raw_race_norm,0.05,0.01,198,163,0.17676767676767677,0.156609613098401,0.10959595959595958,21.699999999999996
logreg_lbfgs::market_aware,raw_race_norm,0.05,0.02,195,162,0.1794871794871795,0.15632680627430565,0.12666666666666668,24.700000000000003
logreg_lbfgs::market_aware,raw_race_norm,0.05,0.03,190,158,0.18421052631578946,0.15416202346072672,0.1563157894736842,29.700000000000003
logreg_lbfgs::market_aware,raw_race_norm,0.1,0.0,105,79,0.18095238095238095,0.23533275099064027,0.2904761904761905,30.500000000000004
logreg_lbfgs::market_aware,raw_race_norm,0.1,0.01,102,79,0.18627450980392157,0.23635478175519062,0.3284313725490196,33.5
logreg_lbfgs::market_aware,raw_race_norm,0.1,0.02,100,79,0.19,0.2367833083543002,0.355,35.5
logreg_lbfgs::market_aware,raw_race_norm,0.1,0.03,96,76,0.19791666666666666,0.23504774563747902,0.4114583333333333,39.5
